Species Name,year_first_described,first_paper
Nosema lepidocyrti,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Nosema lepocreadii,1980,"Canning, Elizabeth U., and Andrew C. Olson. “Nosema Lepocreadii Sp. n., a Parasite of Lepocreadium Manteri (Digenea: Lepocreadiidae) from the Gut of the California Grunion, Leuresthes Tenuis.” The Journal of Parasitology 66, no. 1 (February 1980): 154. https://doi.org/10.2307/3280609."
Nosema limbata,1980,"Narasimhamurti, C C, S Nazeer Ahamed, and C Kalavati. “Two New Species of Microsporidia from the Larvae OfTramea Limbata (Odonata : Insecta).” Proceedings: Animal Sciences 89, no. 6 (November 1980): 531–35. https://doi.org/10.1007/BF03179051."
Nosema onychiurus,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Nosema petrosa,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Pleistophora duodecimae,1980,"Lom, J., A.V. Gayevskaya, and I. Dykova. “Two Microsporidian Parasites Found in Marine Fishes in the Atlantic Ocean.” Folia Parasitologica 27 (1980): 197–202."
Pleistophora malthodes,1980,"Purrini, K. “Pleistophora malthodes sp. n. (Microsporidia, Protozoa)—eine neue Mikrosporidie aus Malthodes fuscus Waltl. (Cantharidae, Coleoptera).” Anzeiger für Schädlingskunde Pflanzenschutz Umweltschutz 53, no. 6 (June 1980): 87–88. https://doi.org/10.1007/BF01958132."
Tetramicra brevifilum,1980,"Maíllo PA, Amigó JM, Baena R, Salvadó H, Gracia MP. Tetramicra brevifilum (Matthews & Matthews, 1980) (Microsporida: Tetramicriidae) in a new fish host, Lophius budegassa (Spinola, 1807) in Spain. Parasitol Res. 1998;84:208–12."
Thelohania bomboschi,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Thelohania collernbolae,1980,"Weiser, Jaroslav, and Kurtesh Purrini. “Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany.” Zeitschrift F�r Parasitenkunde Parasitology Research 62, no. 1 (1980): 75–84. https://doi.org/10.1007/BF00925368."
Thelohania limbata,1980,"Narasimhamurti, C C, S Nazeer Ahamed, and C Kalavati. “Two New Species of Microsporidia from the Larvae OfTramea Limbata (Odonata : Insecta).” Proceedings: Animal Sciences 89, no. 6 (November 1980): 531–35. https://doi.org/10.1007/BF03179051."
Amblyospora coluzzii,1981,"Weiser, J., and S. Prasertphon. “Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria.” Folia Parasitologica 28 (1981): 291–301."
Amblyospora kadunae,1981,"Weiser, J., and S. Prasertphon. “Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria.” Folia Parasitologica 28 (1981): 291–301."
Amblyospora nigeriana,1981,"Weiser, J., and S. Prasertphon. “Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria.” Folia Parasitologica 28 (1981): 291–301."
Amblyospora polykarya,1981,"Lord, Jeffrey C., Donald W. Hall, and E.Ann Ellis. “Life Cycle of a New Species of Amblyospora (Microspora: Amblyosporidae) in the Mosquito Aedes Taeniorhynchus.” Journal of Invertebrate Pathology 37, no. 1 (January 1981): 66–72. https://doi.org/10.1016/0022-2011(81)90056-2."
Berwaldia singularis,1981,"Larsson, Ronny. “A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera.” Parasitology 83, no. 2 (October 1981): 325–42. https://doi.org/10.1017/S0031182000085334"
Encephalitozoon lacertae,1981,"Koudela B, Didier ES, Rogers LB, Modrý D, Kucerová S. Intestinal microsporidiosis in African skink Mabuya perrotetii. Folia Parasitol. 1998;45:149–55."
Glugea nemipteri,1981,"Weiser, J., C. Kalavati, and B. V. Sandeep. “Glugea Nemipteri Sp. n. and Nosema Bengalis Sp. n., Two New Microsporidia of Nemipterus Japonicus in India.” Acta Protozoologica 20, no. 2 (1981): 201–208."
Loma morhua,1981,"Morrison, Carol M., and V. Sprague. “Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*.” Journal of Fish Diseases 4, no. 1 (January 1981): 15–32. https://doi.org/10.1111/j.1365-2761.1981.tb01106.x"
Microsporidium chironomi from 1981,1981,Knell J. Microsporidium goeldichironomi n. sp. and Microsporidium chironomi n. sp. (Microsporida: Apansporoblastina): Two new microsporidia from Florida chironomids. Journal of Invertebrate Pathology. 1981;37:129–37.
Microsporidium goeldichironomi,1981,"Knells, John. “Microsporidia from Florida Chironomidsl,” n.d., 9."
Microsporidium rapuae,1981,"Jones, J B. “A New Microsporidium from the Oyster Ostrea /Maria in New Zealand,” n.d., 4."
Microsporidium rhabdophilia,1981,Modin JC. Microsporidium rhabdophilia n. sp. from rodlet cells of salmonid fishes. J Fish Diseases. 1981;4:203–11.
Nosema acari,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Nosema bengalis,1981,"Weiser, J., C. Kalavati, and B. V. Sandeep. “Glugea Nemipteri Sp. n. and Nosema Bengalis Sp. n., Two New Microsporidia of Nemipterus Japonicus in India.” Acta Protozoologica 20, no. 2 (1981): 201–208."
Nosema dryocoetesi,1981,"Purrini, Kurtesh, and R. Ormières. “On Three New Sporozoan Parasites of Bark Beetles (Scolytidae, Coleoptera).” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 67–74. https://doi.org/10.1111/j.1439-0418.1981.tb04452.x."
Nosema fuhreri,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Nosema hylobi,1981,"Purrini, K. “Nosema Hylobii n. Sp. (Nosematidae, Microsporida), a New Microsporidian Parasite of Hylobius Abietis L. (Curculionidae, Coleoptera).” Zeitschrift Für Angewandte Entomologie 92, no. 1–5 (August 26, 2009): 1–8. https://doi.org/10.1111/j.1439-0418.1981.tb01645.x."
Nosema salivaria,1981,"Weiser, J., and S. Prasertphon. “Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria.” Folia Parasitologica 28 (1981): 291–301."
Nosema steganacari,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
