,species,hosts_natural,hosts_experimental,infection_site,infection_site_formatted
603,Thelohaniidae sp. 1,unidentified notata (of genus Macropelopia),,,
604,Thelohaniidae sp. 2,unidentified notata (of genus Macropelopia),,,
605,Toxoglugea tillargi,Tholymis tillarga,,,
606,Toxospora volgae,Sogupopeiga sp.,,fat body,fat body
607,Trachipleistophora anthropophthera,Homo sapiens,,brain; kidney; pancreas; thyroid; parathyroid; heart; liver; spleen; lymph nodes; bone marrow,brain; kidney; pancreas; thyroid; parathyroid; heart; liver; spleen; lymph nodes; bone marrow
608,Trachipleistophora extenrec,Hemicentetes semispinosus (1); Mus musculus (2),,muscle (1;2),muscle
609,Trachipleistophora hominis,Homo sapiens,,skeletal muscles; nasal sinus cavities; conjuctiva,skeletal muscles; nasal sinus cavities; conjuctiva
610,Trachipleistophora sp.,Homo sapiens,,brain; kidney,brain; kidney
611,Trichoctosporea pygopellita (Trichotosporea pygopellita),Aedes vexans,,,
612,Trichonosema algonquinensis,Pectinatella magnifica,,epithelium,epithelium
613,Trichonosema pectinatellae,Pectinatella magnifica,,muscle,muscle
614,Trichotuzetia guttata,Cyclops vicinus,,oocytes (females); testes (males); systemic infection (except muscles and gut),oocytes; testes; systemic infection
615,Tricornia muhezae,Mansonia africana,,fat body (of larva); systemic infection (in larva),fat body; systemic infection
616,Triwangia caridinae,Caridina formosae,,Alimentary tract; gills; hepatopancreas,Alimentary tract; gills; hepatopancreas
617,Tubulinosema hippodamiae (1),Hippodamia convergens,,adipose; muscle; midgut; hindgut; nervous; Malphigian; epithelium; connective; ovarian; pyloric valve epithelium,adipose; muscle; midgut; hindgut; nervous; Malphigian; epithelium; connective; ovarian; pyloric valve epithelium
618,Tubulinosema hippodamiae (2),,,,
619,Tubulinosema hippodamiae (3),,,,
620,Tubulinosema loxostegi,Loxostege sticticalis,,Adipose,Adipose
621,Tubulinosema maroccanus,Dociostaurus maroccanus,,general (including germline tissues),general
622,Tubulinosema pampeana,Bombus atratus,,Adipose,Adipose
623,Tubulinosema ratisbonesis (Tubulinosema ratisbonensis),Drosophila melanogaster,,midgut; gonadal; neuronal; adipose,midgut; gonadal; neuronal; adipose
624,Tuzetia boeckella,Boeckella triarticulata,,,
625,Tuzetia dualis,Cloeon dipterum,,adipose,adipose
626,Tuzetia weidneri (1),Litopenaeus setiferus (1); Farfantepenaeus azectus (2),,muscle (1;2),muscle
627,Tuzetia weidneri (2),,,,
628,Unikaryon allocreadii (1),Allocreadium fasciatusi,,parenchyma,parenchyma
629,Unikaryon allocreadii (2),,,,
630,Unikaryon euzeti,Mylabris vestita,,gut; adipose tissue; Malpighian tubules; muscles,gut; adipose tissue; Malpighian tubules; muscles
631,Unikaryon matteii,Nisotra sp.,,,
632,Unikaryon montanum,Ips typographus,,fat body; Malpighian tubules; muscle; ovaries,fat body; Malpighian tubules; muscle; ovaries
633,Unikaryon nomimoscolexi,Nomimoscolex sp. (in Clarotes laticeps),,parenchymal cells,parenchymal cells
634,Unikaryon oulemi,Oulema melanopus,,midgut,midgut
635,Unikaryon phyllotretae (1),Phyllotreta undulata,,Malphigian,Malphigian
636,Unikaryon phyllotretae (2),,,,
637,Unikaryon polygraphi,Polygraphus poligraphus,,midgut muscles; Malpighian tubules,midgut muscles; Malpighian tubules
638,Unikaryon slaptonleyi,Echinoparyphium recurratum,,,
639,Unnamed Canningia sp.,Otiorynchus sulcatus,,,
640,Unnamed Enterocytozoon sp.,Pleuronectes vetulus,,,
641,Unnamed Enterospora sp.,Eupagurus bernhardus,,epithelium,epithelium
642,unnamed microspordium in bearded dragons,Pogona vitticeps,,liver; kidney epithelium; lungs; small intestine; brain (ventricular ependymal cells); capillary endothelial cells; stomach epithelium; adrenal glands; ovary,liver; kidney epithelium; lungs; small intestine; brain; ventricular ependymal cells; capillary endothelial cells; stomach epithelium; adrenal glands; ovary
643,Unnamed Microsporidia sp. 1,Halammohydra intermedia,,epidermal; endodermal,epidermal; endodermal
644,Unnamed Microsporidia sp. 2,Dioryctria amatella,,Malphigian; silk gland; adipose; midgut; epidermal,Malphigian; silk gland; adipose; midgut; epidermal
645,Unnamed Microsporidia sp. 3,Fenneropenaeus indicus (1); Penaeus semisulcatus (2),,muscle (1;2),muscle
646,Unnamed Microsporidia sp. 4,Penaeus monodon,,muscle,muscle
647,Unnamed Microsporidia sp. A,Phytoseiulus persimilis,,egg; intestinal; nervous; dermal; muscle,egg; intestinal; nervous; dermal; muscle
648,Unnamed Microsporidia sp. B,Phytoseiulus persimilis,,egg; ovarian; intestinal,egg; ovarian; intestinal
649,Unnamed Microsporidia sp. NIK-5hm,Bombyx mori,,,
650,unnamed microsporidium (possibly Tricornia muhezae or Merocinta davidii),Mesocyclops rarus,,around centre of animal,around centre of animal
651,unnamed microsporidium 1,Pseudodiplorchis americanus (parasite of Scaphiopus couchii),,tegument (primary site); ovary; vitelline follicles/ducts; uterus wall; developing egg capsules; parenchyma; gland cells; sensory bulbs of uniciliate receptors; protonephridial canals; supportive cup of photoreceptors; gut,tegument; ovary; vitelline follicles/ducts; uterus wall; developing egg capsules; parenchyma; gland cells; sensory bulbs of uniciliate receptors; protonephridial canals; supportive cup of photoreceptors; gut
652,unnamed microsporidium 2,Martianus dermestoides,,,
653,unnamed microsporidium 3,Gammarus duebeni,,ovary (in adult females); cells underneath cuticle (in juvenile),ovary; cells underneath cuticle
654,unnamed microsporidium in a parrot,Amazona ochrocephala oratrix,,eye,eye
655,unnamed microsporidium in Acrida turrita,Acrida turrita,,testes (in cyst wall cell),testes
656,unnamed microsporidium in Agapornis roseicollis,Agapornis roseicollis,,"liver (hepatocytes, bile ducts); kidney (renal tubules); intestines (small intestinal epithelium)",liver; hepatocytes; bile ducts; kidney; renal tubules; intestines; small intestinal epithelium
657,unnamed microsporidium in gastrotrich,Turbanella lutheri,,intestines,intestines
658,Unnamed Microsporidium sp. C81 (Microsporidium sp. C81) (1),Corophium volutator,,ovarian,ovarian
659,Unnamed Microsporidium sp. C81 (Microsporidium sp. C81) (2),,,,
660,Unnamed Microsporidium sp. SH (Microsporidium sp. SH),Verasper variegatus,,muscle,muscle
661,Unnamed Nosema sp. (possibly Endoreticulatus schubergi) (1),Euprocitis chrysorrhoea,,adipose; silk gland,adipose; silk gland
662,Unnamed Nosema sp. (possibly Endoreticulatus schubergi) (2),,,,
